Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,1.486308,1.520702,1.284930,1.485099,1.485099,2517422655
2021-06-09,1.480070,1.532651,1.356999,1.492427,1.492427,1819221238
2021-06-10,1.490975,1.497217,1.355368,1.362205,1.362205,1083382350
2021-06-11,1.363053,1.383839,1.233062,1.251965,1.251965,960292127
2021-06-12,1.250332,1.394790,1.163944,1.341269,1.341269,1585637917
2021-06-13,1.340909,1.492560,1.317858,1.469217,1.469217,1566746227
2021-06-14,1.465227,1.597355,1.414814,1.477863,1.477863,1415033591
2021-06-15,1.594380,1.722041,1.534883,1.691460,1.691460,2287131448
2021-06-16,1.628095,1.636442,1.449416,1.477197,1.477197,1472817044
2021-06-17,1.478923,1.556963,1.455155,1.503794,1.503794,1089042381
2021-06-18,1.503763,1.512533,1.307309,1.377261,1.377261,1233288351
2021-06-19,1.380531,1.433359,1.352048,1.363695,1.363695,868441240
2021-06-20,1.360871,1.433974,1.286915,1.398996,1.398996,998938016
2021-06-21,1.399662,1.409565,1.084777,1.099052,1.099052,1483730324
2021-06-22,1.097809,1.235737,0.930163,1.074384,1.074384,2509624684
2021-06-23,1.075182,1.247964,1.031177,1.158587,1.158587,1608298389
2021-06-24,1.178167,1.238874,1.137753,1.203148,1.203148,916504353
2021-06-25,1.202085,1.232769,1.043918,1.046163,1.046163,960902434
2021-06-26,1.040057,1.102386,1.007249,1.075453,1.075453,813581059
2021-06-27,1.077131,1.112806,1.034957,1.112033,1.112033,704097942
2021-06-28,1.114083,1.164332,1.087663,1.119224,1.119224,728137291
2021-06-29,1.120081,1.250090,1.115688,1.167279,1.167279,954899564
2021-06-30,1.171831,1.180927,1.081938,1.167428,1.167428,797906875
2021-07-01,1.167458,1.167458,1.064672,1.077357,1.077357,596223500
2021-07-02,1.074200,1.109534,1.044572,1.103611,1.103611,483658487
2021-07-03,1.102771,1.145669,1.080955,1.118638,1.118638,423834017
2021-07-04,1.117961,1.178456,1.095695,1.147865,1.147865,510476356
2021-07-05,1.146954,1.149955,1.082397,1.101610,1.101610,486095587
2021-07-06,1.101168,1.163829,1.101116,1.131786,1.131786,570313255
2021-07-07,1.131174,1.175934,1.126255,1.128411,1.128411,582374200
2021-07-08,1.129047,1.131728,1.059533,1.070529,1.070529,518902912
