Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,24.593140,25.094419,21.449362,24.174898,24.174898,1934263191
2021-06-09,24.106907,25.639242,22.518564,25.569342,25.569342,1648653604
2021-06-10,25.589344,25.743193,22.810511,23.100679,23.100679,1193159733
2021-06-11,23.119200,23.367527,21.038067,21.478968,21.478968,1088965649
2021-06-12,21.482792,22.293997,20.050198,21.686546,21.686546,1247246126
2021-06-13,21.697639,23.850052,20.460571,23.337601,23.337601,1327698302
2021-06-14,23.317707,25.208834,22.933525,23.860899,23.860899,1329108017
2021-06-15,25.468372,26.435877,24.464281,26.084227,26.084227,1606249957
2021-06-16,24.504099,24.633604,22.925234,23.015078,23.015078,1151075162
2021-06-17,23.034704,24.433029,22.860382,23.356791,23.356791,863470684
2021-06-18,23.391653,23.394974,20.616882,21.211151,21.211151,1115868666
2021-06-19,21.249214,21.941313,20.293961,20.423983,20.423983,800704738
2021-06-20,20.325836,22.059296,19.147449,21.735416,21.735416,1081292352
2021-06-21,21.667130,21.849558,17.014158,17.424097,17.424097,1950854619
2021-06-22,17.384541,18.756935,15.032353,16.806492,16.806492,2148014388
2021-06-23,16.840994,19.147215,16.207232,18.387203,18.387203,1526785668
2021-06-24,18.391554,19.504133,17.385279,19.037357,19.037357,905107228
2021-06-25,19.051491,19.472569,16.835096,16.930967,16.930967,1099374748
2021-06-26,16.897558,17.485468,15.957306,16.955221,16.955221,956999857
2021-06-27,16.969868,18.367485,16.628080,18.344139,18.344139,805522371
2021-06-28,18.381657,19.406273,17.931026,18.773989,18.773989,925374430
2021-06-29,18.811012,20.533749,18.764088,19.460011,19.460011,957886998
2021-06-30,19.523729,19.762562,18.179699,19.497236,19.497236,941628359
2021-07-01,19.498968,19.498968,17.644156,18.273293,18.273293,779093195
2021-07-02,18.220669,18.520256,17.305502,18.283562,18.283562,686541946
2021-07-03,18.285458,18.886003,17.898075,18.538818,18.538818,509076297
2021-07-04,18.548805,19.894503,18.028957,19.262838,19.262838,680268075
2021-07-05,19.246891,19.246891,17.814753,18.371590,18.371590,698619085
2021-07-06,18.351877,20.240997,18.351877,20.080465,20.080465,1156986405
2021-07-07,20.091469,21.227631,19.643406,19.764128,19.764128,1110848445
2021-07-08,19.818855,19.857903,18.422176,18.985825,18.985825,1123561856
