Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,21.703253,22.271933,19.663782,21.745270,21.745270,2653898124
2021-06-09,21.661722,23.283064,20.435955,23.184938,23.184938,2220005780
2021-06-10,23.200251,24.551924,22.106970,22.684816,22.684816,2114395058
2021-06-11,22.683626,23.192602,20.515980,20.985857,20.985857,1517304437
2021-06-12,20.963896,21.257568,19.521172,20.777037,20.777037,1455506947
2021-06-13,20.755634,22.401642,19.993820,22.076334,22.076334,1233102638
2021-06-14,22.044922,26.031012,21.305422,22.205355,22.205355,1232810594
2021-06-15,25.186892,25.985241,23.648098,24.760836,24.760836,3151346882
2021-06-16,23.969503,24.540514,22.575315,22.972176,22.972176,1694813678
2021-06-17,23.017530,23.996916,22.015537,22.511454,22.511454,1236017502
2021-06-18,22.547190,22.565636,20.273529,21.398895,21.398895,1406342363
2021-06-19,21.450775,21.654121,20.313393,20.355942,20.355942,997553727
2021-06-20,20.263672,21.017651,18.952505,20.672365,20.672365,1309501355
2021-06-21,20.638241,20.776972,15.381439,15.769904,15.769904,2426849565
2021-06-22,15.723165,16.935106,13.056847,14.652412,14.652412,3026165113
2021-06-23,14.659879,16.801208,14.008465,16.142490,16.142490,2060945482
2021-06-24,15.810255,16.594536,14.753929,16.253658,16.253658,1163182953
2021-06-25,16.232014,16.721203,14.467695,14.467695,14.467695,1273917013
2021-06-26,14.441858,14.991236,13.645802,14.499613,14.499613,1135392299
2021-06-27,14.519034,15.040334,14.064211,15.015594,15.015594,982313260
2021-06-28,15.035586,16.032860,14.682418,15.740377,15.740377,1109200887
2021-06-29,15.776032,17.031670,15.738138,16.253370,16.253370,1342798978
2021-06-30,16.307409,16.622644,15.105000,16.402195,16.402195,1208316036
2021-07-01,16.414341,16.414341,14.895052,15.278964,15.278964,883647160
2021-07-02,15.219061,15.469187,14.675116,15.340775,15.340775,753194772
2021-07-03,15.321934,15.776978,15.068263,15.553717,15.553717,711235057
2021-07-04,15.553584,16.579445,15.221813,16.014027,16.014027,752075892
2021-07-05,15.996540,15.996540,14.788740,15.235582,15.235582,844844585
2021-07-06,15.240785,16.162344,15.210810,16.143564,16.143564,1001573398
2021-07-07,16.136374,17.674274,16.101463,16.857790,16.857790,1424247755
2021-07-08,16.813044,16.879568,15.227252,15.508408,15.508408,1277210368
