Date,Open,High,Low,Close,Adj Close,Volume
2017-09-20,0.156494,0.189448,0.152489,0.189165,0.189165,2718640
2017-09-21,0.189132,0.207892,0.155292,0.169680,0.169680,2126270
2017-09-22,0.169826,0.181675,0.139869,0.150503,0.150503,1423220
2017-09-23,0.149562,0.157440,0.126297,0.131129,0.131129,1186670
2017-09-24,0.131110,0.190250,0.130275,0.170278,0.170278,1025740
2017-09-25,0.170636,0.182637,0.158580,0.182198,0.182198,1021370
2017-09-26,0.182039,0.223162,0.182039,0.194958,0.194958,1319050
2017-09-27,0.194737,0.206099,0.194253,0.194586,0.194586,1097010
2017-09-28,0.193377,0.283820,0.191310,0.243795,0.243795,8113680
2017-09-29,0.245437,0.334931,0.214421,0.308440,0.308440,8896430
2017-09-30,0.312497,0.472558,0.300089,0.451364,0.451364,23440700
2017-10-01,0.451547,0.451884,0.382034,0.436647,0.436647,10005100
2017-10-02,0.437667,0.440264,0.356767,0.356767,0.356767,7101340
2017-10-03,0.367254,0.367254,0.295817,0.345535,0.345535,8211990
2017-10-04,0.343186,0.398695,0.336883,0.397361,0.397361,7604930
2017-10-05,0.397030,0.417906,0.378043,0.406538,0.406538,6291110
2017-10-06,0.406319,0.485050,0.404342,0.475765,0.475765,12167500
2017-10-07,0.472246,0.476171,0.423777,0.463657,0.463657,7408570
2017-10-08,0.462486,0.473417,0.358079,0.397137,0.397137,7203350
2017-10-09,0.404506,0.439560,0.357163,0.380589,0.380589,6781680
2017-10-10,0.380399,0.433060,0.360251,0.407469,0.407469,7138890
2017-10-11,0.416346,0.454111,0.408787,0.450463,0.450463,5477860
2017-10-12,0.452886,0.475765,0.423021,0.444011,0.444011,8959280
2017-10-13,0.441636,0.473790,0.414082,0.434603,0.434603,7521630
2017-10-14,0.434848,0.459368,0.389206,0.391860,0.391860,4219350
2017-10-15,0.391134,0.423696,0.370720,0.413516,0.413516,5135330
2017-10-16,0.415525,0.527722,0.389498,0.423807,0.423807,12123000
2017-10-17,0.422383,0.422383,0.359183,0.400848,0.400848,6321060
2017-10-18,0.402731,0.402731,0.325790,0.366229,0.366229,5336930
2017-10-19,0.367808,0.377265,0.293921,0.300000,0.300000,5812480
2017-10-20,0.298908,0.323952,0.216270,0.223874,0.223874,7715660
2017-10-21,0.223434,0.266299,0.203227,0.252681,0.252681,5154740
2017-10-22,0.258186,0.285979,0.249826,0.264695,0.264695,4038780
2017-10-23,0.263856,0.276816,0.228412,0.248675,0.248675,2972470
